year,category,term,date,kickoffdate,homeTeam,score,awayTeam,stadiumName,visitors,other,homeTeamId,awayTeamId,competitionName,jLeagueCompetitionId,competitionId
2026,2,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,甲府,vs,松本,ＪＩＴス,,ＤＡＺＮ,28,46,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,長野,vs,大宮,長野Ｕ,,ＤＡＺＮ,274,27,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,磐田,vs,福島,ヤマハ,,ＤＡＺＮ,13,271,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,富山,vs,FC大阪,富山,,ＤＡＺＮ,41,390,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第４節第１日,2026/02/28,2026-02-28T16:00:00+09:00,愛媛,vs,徳島,ニンスタ,,ＤＡＺＮ,37,36,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,北九州,vs,滋賀,ミクスタ,,ＤＡＺＮ,43,495,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,2,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,鳥栖,vs,鹿児島,駅スタ,,ＤＡＺＮ,33,338,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,3,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,琉球,vs,宮崎,沖縄県陸,,ＤＡＺＮ,277,371,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,1,第４節第３日,2026/03/01,2026-03-01T16:00:00+09:00,川崎F,vs,水戸,Ｕ等々力,,ＤＡＺＮ,21,94,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第４節第３日,2026/03/01,2026-03-01T14:00:00+09:00,岡山,vs,名古屋,ＪＦＥス,,ＤＡＺＮ,42,8,明治安田J1百年構想 WESTグループ,35,35-W
2026,3,第４節第２日,2026/03/01,2026-03-01T14:00:00+09:00,栃木SC,vs,横浜FC,カンセキ,,ＤＡＺＮ,40,34,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,3,第４節第２日,2026/03/01,2026-03-01T14:00:00+09:00,相模原,vs,山形,ギオンス,,ＤＡＺＮ,273,29,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第４節第２日,2026/03/01,2026-03-01T14:00:00+09:00,いわき,vs,藤枝,ハワスタ,,ＤＡＺＮ,386,276,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第４節第２日,2026/03/01,2026-03-01T14:00:00+09:00,金沢,vs,讃岐,ゴースタ,,ＤＡＺＮ,275,48,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,2,第４節第２日,2026/03/01,2026-03-01T14:00:00+09:00,今治,vs,新潟,アシさと,,ＤＡＺＮ,369,78,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第４節第２日,2026/03/01,2026-03-01T14:00:00+09:00,高知,vs,奈良,ギケンス,,ＤＡＺＮ,468,391,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第４節第２日,2026/03/01,2026-03-01T13:00:00+09:00,山口,vs,鳥取,みらスタ,,ＤＡＺＮ／ＮＨＫ山口／ＮＨＫ鳥取,330,44,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,3,第４節第２日,2026/03/01,2026-03-01T13:00:00+09:00,熊本,vs,大分,えがおＳ,,ＤＡＺＮ／ＮＨＫ熊本／ＮＨＫ大分,38,31,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,3,第５節第１日,2026/03/06,2026-03-06T19:00:00+09:00,FC大阪,vs,奈良,花園,,ＤＡＺＮ,390,391,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,1,第５節第１日,2026/03/07,2026-03-07T13:00:00+09:00,千葉,vs,柏,フクアリ,,ＤＡＺＮ,2,11,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第５節第１日,2026/03/07,2026-03-07T14:00:00+09:00,FC東京,vs,横浜FM,MUFG国立,,ＤＡＺＮ,22,5,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第５節第１日,2026/03/07,2026-03-07T14:00:00+09:00,町田,vs,川崎F,Ｇスタ,,ＤＡＺＮ ※ＡＦＣチャンピオンズリーグエリート ２０２５／２６ ラウンド１６以降に出場するクラブの試合は、３／２８（土）に開催します,45,21,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第５節第１日,2026/03/07,2026-03-07T15:00:00+09:00,浦和,vs,水戸,埼玉,,ＤＡＺＮ,3,94,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第５節第１日,2026/03/07,2026-03-07T16:00:00+09:00,鹿島,vs,東京V,メルスタ,,ＤＡＺＮ,1,4,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第５節第１日,2026/03/07,2026-03-07T15:00:00+09:00,C大阪,vs,清水,ヨドコウ,,ＤＡＺＮ,20,7,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第５節第１日,2026/03/07,2026-03-07T16:00:00+09:00,福岡,vs,名古屋,ベススタ,,ＤＡＺＮ,23,8,明治安田J1百年構想 WESTグループ,35,35-W
2026,2,第５節第１日,2026/03/07,2026-03-07T14:00:00+09:00,仙台,vs,湘南,ユアスタ,,ＤＡＺＮ,54,12,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第５節第１日,2026/03/07,2026-03-07T14:00:00+09:00,いわき,vs,大宮,ハワスタ,,ＤＡＺＮ,386,27,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第５節第１日,2026/03/07,2026-03-07T14:00:00+09:00,松本,vs,札幌,サンアル,,ＤＡＺＮ／信越放送,46,14,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
